TITLE = "Normal Surface Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
-6.053800845366973798e-02 -9.978868279827233234e-01 2.360144213903358004e-02
1.781527222122498977e-01 -7.698832397699879593e-01 -6.128143313350563615e-01
-5.906056649325116398e-02 -9.968734569225302655e-01 5.248962153436103478e-02
1.413140498491875785e-02 9.096569830898679765e-01 4.151198339142469496e-01
-1.020843641926373752e-01 -9.943467906481575636e-01 2.921031521730405728e-02
-5.942104116912420853e-02 -9.942242746579752488e-01 8.937131277541075780e-02
1.882672158732060994e-02 9.169323065685932583e-01 3.985984191201375482e-01
1.592182025084029617e-01 -6.695814790499148295e-01 -7.254724025787070429e-01
-2.735441273735325293e-02 9.981086312082116940e-01 -5.505357764455101610e-02
-5.095761365535406845e-02 9.826041798314668618e-01 -1.785842865099897814e-01
-1.002299113278068421e-02 9.195352983311846362e-01 3.928795932238418609e-01
-1.401887512339528852e-01 9.038170114392239940e-01 -4.043042466516207911e-01
-1.512780985373738118e-01 -2.828239136100121898e-01 -9.471671292824898059e-01
-1.125693588084692442e-01 -7.166902225358824374e-01 6.882465142511928757e-01
-8.965219794394096997e-02 -8.669113070384872888e-01 4.903338343747471462e-01
-1.708758619988474114e-01 9.745353935521500199e-01 -1.451971297936250904e-01
-1.704674192068137140e-01 9.727902673747923501e-01 -1.569074717464039037e-01
1.225319182935544551e-02 9.999183109952337611e-01 -3.637392806928121253e-03
-2.228568880695570940e-03 9.999045547801651557e-01 -1.363505814522311156e-02
5.183407802290647230e-03 9.994352252138134496e-01 -3.320185063169064921e-02
-1.940152553683457959e-02 9.988472334024778299e-01 -4.390654997901134726e-02
-2.812158385999713808e-02 -8.898985986883933830e-01 4.552907429035196740e-01
7.570038982983150200e-02 -5.270527349255370586e-01 8.464542903117232564e-01
-4.523562944290000082e-02 -9.321230609334784090e-01 3.593053535711755453e-01
-4.632873612280836995e-02 -9.514475875508382474e-01 3.043043482320836879e-01
-4.478176446239159197e-02 -9.403042369644720733e-01 3.373759557501049278e-01
-2.914205011982257208e-03 9.999896718382653704e-01 -3.487639021796381383e-03
-1.933936162691620234e-02 9.982108830873135386e-01 -5.657757486768994620e-02
