TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
8.339263389080757705e-01 -5.513708672067568761e-01 2.360144213903357310e-02
7.961936519083301356e-01 -2.129920222177365263e-01 -5.663126937765708968e-01
9.944753858762526155e-01 -1.044821820401431040e-01 1.010843817851934771e-02
7.948517585781964545e-01 4.425903358368283302e-01 4.151198339142470051e-01
8.100873987765124795e-01 -5.855810480440853949e-01 2.921031521730405381e-02
8.392078109693531518e-01 -5.368773049009093468e-01 8.656217124334690538e-02
8.035000318327227831e-01 4.421617341197003337e-01 3.985984191201375482e-01
6.594836720149857001e-01 -1.969037314077853318e-01 -7.254724025787070429e-01
8.507102239941481958e-01 5.227439319402583662e-01 -5.505357764455100916e-02
8.254813747711461369e-01 5.354326778575029255e-01 -1.785842865099897814e-01
7.913294324649180478e-01 4.684478141084866265e-01 3.928795932238418054e-01
7.126341166619221124e-01 5.733155256130323396e-01 -4.043042466516206801e-01
9.999998392296831629e-01 -1.168267970254263801e-04 -5.548802637701369172e-04
5.643872599557619996e-01 -4.558330356838012909e-01 6.882465142511928757e-01
7.059411157513308943e-01 -5.110967344438076543e-01 4.903338343747470907e-01
7.585344767038039171e-01 6.352505341606410338e-01 -1.451971297936250627e-01
7.572273744974197252e-01 6.340242492380681050e-01 -1.569074717464039037e-01
8.720812549457790386e-01 4.893475800959511401e-01 -3.637392806928121253e-03
8.648284613590440095e-01 5.018822746548483593e-01 -1.363505814522311156e-02
8.681279983733294348e-01 4.952286497719486924e-01 -3.320185063169063533e-02
8.553263158579329506e-01 5.162258306883102943e-01 -4.390654997901136114e-02
7.566140013263233932e-01 -4.693033053616088579e-01 4.552907429035196185e-01
4.942912524944967356e-01 -1.979679067937493431e-01 8.464542903117232564e-01
7.846244355002525150e-01 -5.052367347204700376e-01 3.593053535711755453e-01
8.008134131270404632e-01 -5.158456561829970477e-01 3.043043482320836879e-01
7.919364742661795242e-01 -5.089342641329585026e-01 3.373759557501049278e-01
8.645593568280108832e-01 5.025186114913454682e-01 -3.487639021796382251e-03
8.548063022742535821e-01 5.158538200055402534e-01 -5.657757486768995314e-02
8.571358733115829187e-01 5.113581503415715046e-01 -6.189456164831413920e-02
8.947320254983271992e-01 4.299844640167746479e-01 -1.206978179250465938e-01
8.808599022716637750e-01 4.257373687420518693e-01 -2.069626184279397541e-01
8.909711976764405073e-01 4.487862501282604555e-01 -6.900164205889453006e-02
9.998952503995404140e-01 -1.424130768185961383e-02 2.583289366447830311e-03
9.698712290359805532e-01 -2.428408603178941472e-01 1.944519602116335025e-02
9.999998024910199401e-01 -6.155140250901856283e-04 1.271235856567983218e-04
9.136934047773880296e-01 -3.836195795583776103e-01 1.341654957347735155e-01
8.194430098652655259e-01 -5.723454106591439050e-01 3.055952356255207600e-02
8.306888259212177328e-01 -5.558814060436896298e-01 3.085347475600616271e-02
8.236298310846579263e-01 -5.657617637534411159e-01 3.933863269171081201e-02
8.692869563721958848e-01 4.925021762247115964e-01 -4.221130056142818193e-02
8.097339029605430394e-01 4.395965939225991437e-01 3.886976215619734609e-01
8.666467919806111198e-01 4.945427927002545299e-01 6.596032245182337217e-02
4.626234419452129321e-01 3.579255237258973099e-01 -8.110911603687382954e-01
4.550621443348976114e-01 3.597144186436688207e-01 -8.145698139589829800e-01
8.653095029946606953e-01 5.009325559183401833e-01 1.749395462016252803e-02
8.778367565333002887e-01 4.789395045799066386e-01 4.424910377495535480e-03
8.893892940006735692e-01 4.571159550949911443e-01 5.629148654772996724e-03
-1.051489593946782902e-01 -7.689475116745349281e-02 9.914791442996225834e-01
-1.115915238925160313e-01 -1.032931558140755962e-01 9.883713147179632452e-01
2.182836207377851778e-01 -8.520462983052069783e-02 9.721586454756480089e-01
6.921905872270347482e-01 5.620220741298110889e-01 -4.527729885330155080e-01
7.606439670918422324e-01 6.394263186390496401e-01 1.120479288451913247e-01
7.373438615873978419e-01 6.309816448114372589e-01 -2.412181454419162763e-01
7.189874651837592223e-01 5.446056217639916319e-01 -4.318121601480078287e-01
4.890367380027681454e-01 3.837675610936270298e-01 -7.833042371491815148e-01
3.922895221850693503e-01 1.667786515641210554e-01 9.045959386191513296e-01
7.991995322492559950e-01 -2.068423200815289534e-02 6.007098053126844750e-01
3.260954999562894474e-01 -4.013086983110584344e-02 9.444846415875995937e-01
1.678661391490315555e-02 -4.795557834924895069e-01 8.773508192919047266e-01
6.604192635653510779e-01 4.977468909354084703e-01 -5.622227573443945303e-01
7.401265593358229422e-01 6.572872957334630062e-01 1.420777499579289893e-01
7.565701317187581987e-01 6.530467418604205543e-01 -3.363909535867495165e-02
9.997957347585089138e-01 -2.012607601750616287e-02 1.851978085929285823e-03
8.228932863628590777e-01 3.415867553992378847e-01 -4.540541022772008328e-01
1.820097865424927935e-02 1.972720363986381065e-01 9.801798141316530044e-01
9.550089071752332348e-02 1.348511634090162059e-01 9.862528801475788365e-01
4.370964262620737895e-01 -3.916878097359927646e-01 -8.096464499107892676e-01
6.649351362989797121e-01 -2.111142894947684590e-01 -7.164440112710668274e-01
8.030352431495992871e-01 -5.424765540690368315e-01 2.466851972556262096e-01
6.023228661700570363e-01 5.101438377440196126e-01 -6.139710332747717603e-01
9.044212690675766941e-01 1.287559791661863628e-01 4.067481602750656067e-01
7.525538652348584545e-01 6.329769344706669409e-01 -1.816669489703379436e-01
1.826979088674187679e-01 8.742270608809751820e-02 9.792746012001467548e-01
8.788841109025008480e-01 4.767111369866334769e-01 1.758441002797631394e-02
3.008742819145224789e-01 2.780560301396014025e-02 9.532583673503477462e-01
2.823198351074102108e-01 5.798599707612747678e-02 9.575662561139108853e-01
6.203153350712629077e-01 5.414017453916856182e-01 -5.675324089091858815e-01
8.536324431053454731e-01 5.163069795481465274e-01 -6.883861523787929149e-02
8.574290176276783138e-01 5.128761906602627985e-01 -4.211285770228018199e-02
8.074825620460578390e-01 -5.888237984530312330e-01 3.547458762097816659e-02
8.706353954991680189e-01 4.918259457747529706e-01 1.006216511378758144e-02
4.637179855405388906e-01 -4.305677951472205306e-02 8.849360110335916518e-01
6.549554557349850370e-01 -3.379455711364913184e-01 6.758891491599852142e-01
6.645084416849167397e-01 -3.588819599621070888e-01 6.554634007656262584e-01
8.783480250921651411e-01 4.775263062109548762e-01 2.175715269088998247e-02
5.450141025798351802e-01 -3.981382959310731384e-01 -7.378655197949001154e-01
8.442811899797458830e-01 5.331601107393830752e-01 -5.412548903015141494e-02
8.006180423630950838e-01 -5.408891104136055450e-01 2.577784329199473423e-01
7.160595285855602121e-01 -4.601755106729942257e-01 5.248783200882601863e-01
8.772507161136634535e-01 4.797949927051350372e-01 1.509788240595827218e-02
8.776381904714538607e-01 4.792010430662259068e-01 1.084282943853824045e-02
-3.585399957292186857e-01 -1.658839612785290851e-01 -9.186574894121505297e-01
6.844540839847673697e-01 -4.844386915961073625e-01 -5.448318648915686513e-01
7.491257800982987769e-01 6.545125411870315046e-01 -1.020974976236429521e-01
9.975592286426778754e-01 6.636210605519471395e-02 -2.171764788702035265e-02
8.695666325381852246e-01 4.937778640181346712e-01 -6.106765255783780551e-03
8.788993060698390147e-01 4.769037326887369255e-01 9.941807557252664573e-03
8.754328010130456583e-01 4.833371366373987454e-01 1.619647373284276203e-03
7.882477211465048761e-01 -2.509472311708739189e-01 -5.618638778877085294e-01
9.346954282938614300e-01 3.489755502868794879e-01 6.753163427997761759e-02
9.165973047772679738e-01 3.819754939806294103e-01 1.180851509432999796e-01
8.079972305144785816e-01 -5.889861103086325711e-01 1.535699659568581441e-02
8.553190633286882338e-01 5.140331294635104298e-01 -6.480155646653330825e-02
9.124418885634194565e-01 3.904320568073018083e-01 1.225259524020944207e-01
8.140965083642632827e-01 -5.785472331345825614e-01 5.029884791358717189e-02
6.874845460955637533e-01 5.574813024432302422e-01 -4.653811301567526426e-01
7.392170539977428456e-01 6.071016361722904042e-01 -2.915231559170316511e-01
8.343022648961643251e-01 -5.511463727749337238e-01 1.331940562353709119e-02
8.491044169051381596e-01 5.241639994793469981e-01 -6.537423683684934206e-02
8.452418351268798924e-01 5.295394887651662108e-01 -7.179254828790215814e-02
8.507883337251208600e-01 5.225555871785977358e-01 -5.563155135050062289e-02
8.422230225066993370e-01 5.302854242974481824e-01 -9.725095957035741201e-02
8.527542311322644508e-01 5.190961694780079627e-01 -5.787389842821688557e-02
8.444001105692638953e-01 5.303856419464332284e-01 -7.536261730914618762e-02
8.556275380680711251e-01 5.157738807013440008e-01 -4.334535829644658306e-02
8.527311519225103664e-01 5.189136328259968955e-01 -5.981825982285843973e-02
8.547994423337628156e-01 5.168201442137873025e-01 -4.706221330035469802e-02
8.529229247424643390e-01 5.192111129520072810e-01 -5.424301462767936594e-02
8.483787571320267062e-01 5.202729125096174911e-01 -9.782423501299446211e-02
8.441886884804382651e-01 5.311131576121767006e-01 -7.255530340988587679e-02
8.472763044781881359e-01 5.265331441429951242e-01 -6.989786826990142254e-02
8.413861461915493889e-01 5.279849039733017779e-01 -1.153312367627955387e-01
8.452015393689511491e-01 5.290736949954384372e-01 -7.560015285850264777e-02
8.509540379423436995e-01 5.229099263286937083e-01 -4.942099004006624691e-02
8.524901201220842495e-01 5.203259819421808263e-01 -5.021421721126131943e-02
8.524884741398985888e-01 5.203486466087239304e-01 -5.000687383847041145e-02
8.542847433558661274e-01 5.179779337839791609e-01 -4.354810423292514859e-02
8.501380993491711724e-01 5.237828852823807058e-01 -5.400649146392673405e-02
8.575114882133575422e-01 5.131088434572949053e-01 -3.732776912742124392e-02
8.572006099197616580e-01 5.134378411534855635e-01 -3.985846992593564120e-02
8.562242997819655699e-01 5.144684127392022965e-01 -4.692761187710727672e-02
8.524322690200508701e-01 5.203639084502775791e-01 -5.079989680775835736e-02
8.422389764109066146e-01 5.302246047428564868e-01 -9.744421552657744900e-02
8.570713191689642851e-01 5.061032274141237242e-01 -9.637570782608557984e-02
8.314241087755284143e-01 5.358847951219405381e-01 -1.468381343654776849e-01
8.475694819335787278e-01 5.263912153626629786e-01 -6.736662143720344165e-02
8.763052229263215143e-01 4.817451675533783728e-01 3.278690442449893466e-03
8.807915354825425203e-01 4.734612001793390701e-01 6.384586677674662300e-03
8.813077947757638198e-01 4.723646807791401780e-01 1.296839311176256442e-02
8.783698186216752912e-01 4.779505794418279496e-01 5.450261071379145297e-03
8.821427366008379733e-01 4.709077051345145759e-01 8.374097403878276794e-03
8.803439318140285907e-01 4.743001695189381084e-01 5.823307696096671413e-03
8.734479432213508865e-01 4.869135287923052613e-01 -1.976350529826313013e-03
8.776200440601381603e-01 4.792676347972936735e-01 9.251621462694850986e-03
8.802350235711682291e-01 4.744683005623061556e-01 8.132345306361875997e-03
8.790078621908470335e-01 4.767451248090590621e-01 7.698323029823813529e-03
8.794306893843191197e-01 4.759756334505644282e-01 6.989916333920802999e-03
8.803044204166914355e-01 4.743659298852412332e-01 6.410301002560833683e-03
8.783976512967901495e-01 4.778520528207262363e-01 8.659203849117863561e-03
8.788833026079110322e-01 4.769512189551174952e-01 9.037429625652021112e-03
8.808163414882291820e-01 4.733631602836049779e-01 9.481089262798900533e-03
8.586745090683974846e-01 5.124713607432871409e-01 -7.154851086517620591e-03
8.802188597133304704e-01 4.744503224065912961e-01 1.056648348533473745e-02
8.709971282143003091e-01 4.912841496183611434e-01 1.971541580932803430e-03
8.766741486165852137e-01 4.810799717196432845e-01 2.120838893639191182e-03
8.632652424668539881e-01 5.041162969096681934e-01 -2.529585615722401704e-02
8.759226803194329891e-01 4.824402658001691324e-01 3.293635784738303037e-03
8.756736082018741207e-01 4.828946309732310427e-01 2.916723493554976374e-03
8.776467247710898478e-01 4.792654961793798019e-01 6.388322981173876619e-03
8.663943863411587287e-01 4.989915314343705277e-01 -1.918903002521606463e-02
8.688484996263393656e-01 4.950125647866322476e-01 -8.052664181446093569e-03
8.703619252572375453e-01 4.923696715282956937e-01 -6.498124470417044815e-03
8.790870653049559502e-01 4.765869119006655441e-01 8.417067096528478218e-03
8.716893840509288838e-01 4.900585715454385816e-01 4.628042310419615323e-04
8.807902344512383852e-01 4.735054950727120016e-01 -1.053105540015598788e-03
8.813766063184660382e-01 4.723852157673229524e-01 5.242686239281415736e-03
8.807196228961824414e-01 4.736200494944375339e-01 4.122446178245313571e-03
8.788957756137733002e-01 4.769403113597636690e-01 8.375858661384129669e-03
8.798552185285977156e-01 4.751851764687340385e-01 7.337744365374349910e-03
8.649462945246151335e-01 5.010744858428289872e-01 -2.814724188055118051e-02
8.506373149387278509e-01 5.230174234133795341e-01 -5.356242376761359558e-02
8.573218118879908367e-01 5.121888297063091899e-01 -5.159373591022286404e-02
8.502555485615690412e-01 5.224858295938862307e-01 -6.382836370966953055e-02
7.675728952919291803e-01 4.842574652899135357e-01 4.199125596170626418e-01
7.723073895503943520e-01 4.735404748954477605e-01 4.234391510968834038e-01
7.710634927666032423e-01 4.772685800018186542e-01 4.215160645403848716e-01
7.664842461152252540e-01 4.788449055884426153e-01 4.280297382766414804e-01
7.703145401097200029e-01 4.736762432213212359e-01 4.269031809477253359e-01
7.678069981501819408e-01 4.803440028960161978e-01 4.239599656493976410e-01
7.704281997696392770e-01 4.776737185231851313e-01 4.222181990771429194e-01
7.668091492005556509e-01 4.781134645160783903e-01 4.282653893916163468e-01
