TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
5.950544839232740912e-01 -8.033387411869067352e-01 2.360144213903358004e-02
6.890461081092242868e-01 -4.439742695353703916e-01 -5.728021551024975455e-01
9.873100956122380367e-01 -1.584557438221594616e-01 1.051438785281781814e-02
5.955415220571657064e-01 6.877541850085990838e-01 4.151198339142470051e-01
5.609526368411068553e-01 -8.273323979549664919e-01 2.921031521730405034e-02
6.101995243463523844e-01 -7.874468646465971888e-01 8.708602554789789119e-02
6.038148310377062788e-01 6.903093147957902742e-01 3.985984191201376037e-01
5.523668976838265188e-01 -4.105856834326100380e-01 -7.254724025787071540e-01
6.206171653895974361e-01 7.821786481439622074e-01 -5.505357764455102304e-02
5.925699952465831588e-01 7.854733944222314079e-01 -1.785842865099897814e-01
5.833878397760036139e-01 7.108475600505050895e-01 3.928795932238419164e-01
4.735715625064919609e-01 7.824755915200328760e-01 -4.043042466516207356e-01
9.999998371113798523e-01 -1.335992870136614601e-04 -5.549130059575652562e-04
3.744464632488594402e-01 -6.213747514837587582e-01 6.882465142511928757e-01
4.885622788131442351e-01 -7.217199114533736637e-01 4.903338343747471462e-01
4.955207716289349307e-01 8.563743097407570115e-01 -1.451971297936250904e-01
4.947119114759592207e-01 8.547749235640657028e-01 -1.569074717464039037e-01
6.521215905177766281e-01 7.581056658237910195e-01 -3.637392806928122120e-03
6.410190758746610040e-01 7.674038243025453898e-01 -1.363505814522311677e-02
6.463953001950796251e-01 7.622799702211411343e-01 -3.320185063169064921e-02
6.271841947752685442e-01 7.776324328968271526e-01 -4.390654997901136114e-02
5.504734100666581753e-01 -6.997780821345763735e-01 4.552907429035196740e-01
3.967728306326219756e-01 -3.550865461893107922e-01 8.464542903117232564e-01
5.645046517054083113e-01 -7.431245932534116250e-01 3.593053535711754898e-01
5.760888496802247793e-01 -7.586306749144553496e-01 3.043043482320836879e-01
5.701110910370402740e-01 -7.490999989041908780e-01 3.373759557501050388e-01
6.405485603166068964e-01 7.679097461618622500e-01 -3.487639021796381817e-03
6.268227769950162065e-01 7.771050020829534111e-01 -5.657757486768995314e-02
6.305494672912064225e-01 7.736772146943056150e-01 -6.189456164831414614e-02
6.937097339307790600e-01 7.100696034881509577e-01 -1.206978179250465938e-01
6.821267942346291857e-01 7.013340938245044009e-01 -2.069626184279398096e-01
6.837451221978769755e-01 7.264512242840440726e-01 -6.900164205889453006e-02
9.997767545343748674e-01 -2.096869011822887277e-02 2.599062799948392757e-03
9.247904936733698511e-01 -3.799075992456696915e-01 2.080285669701707058e-02
9.999995874615489333e-01 -8.993929604066818601e-04 1.271575191329163445e-04
7.925199615167969336e-01 -5.930216074323891862e-01 1.422585101697606547e-01
5.742708901395552346e-01 -8.180947746184134006e-01 3.055952356255207253e-02
5.904695217203415059e-01 -8.064699665919565774e-01 3.085347475600616618e-02
5.804569550022622426e-01 -8.133401473967999395e-01 3.933863269171081894e-02
6.484168733478149482e-01 7.601143101289150605e-01 -4.221130056142818887e-02
6.105500833533120675e-01 6.900309809779040515e-01 3.886976215619734609e-01
6.452379984119429590e-01 7.611288729692239352e-01 6.596032245182338605e-02
3.123060956738482608e-01 4.945665093560731584e-01 -8.110911603687382954e-01
3.045889620096980943e-01 4.936614046172564385e-01 -8.145698139589829800e-01
6.417959300883203655e-01 7.666759065431855147e-01 1.749395462016253150e-02
6.610897643682340785e-01 7.502937715426564180e-01 4.424910377495536347e-03
6.794096921003827116e-01 7.337375436526916150e-01 5.629148654772996724e-03
-7.250814741121225371e-02 -1.082204924119374440e-01 9.914791442996225834e-01
-7.606010836130823460e-02 -1.501490886573186856e-01 9.857332859812752979e-01
1.764247825058271324e-01 -1.553682649734664523e-01 9.719747930666238211e-01
4.582235166486414712e-01 7.648711196306433591e-01 -4.527729885330155635e-01
4.960748417743909289e-01 8.610197518059710120e-01 1.120479288451913247e-01
4.770681531211899973e-01 8.451152487010865633e-01 -2.412181454419163318e-01
4.893611226590582897e-01 7.576700799016531374e-01 -4.318121601480078842e-01
3.282879777454281722e-01 5.278839604799107077e-01 -7.833042371491815148e-01
4.256732275205619698e-01 2.254974957653328033e-02 9.045959386191513296e-01
7.439274789941655586e-01 -2.927791587503827953e-01 6.007098053126845860e-01
3.201551008318352376e-01 7.382054738689572404e-02 9.444846415875995937e-01
-4.572920299509452419e-02 -6.339631349827952178e-01 7.720100928590373224e-01
4.709132993634511100e-01 6.666701884112855581e-01 -5.777469379981947650e-01
4.706859711626361631e-01 8.707862134402325482e-01 1.420777499579290171e-01
4.875882296336779276e-01 8.724254292408868405e-01 -3.363909535867494471e-02
