TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
-5.261429443356309410e-02 -1.191672876260369829e-01 9.914791442996225834e-01
-5.461575058514952369e-02 -1.669816271802712360e-01 9.844461671276137915e-01
1.470973192411095531e-01 -1.838644674176082294e-01 9.718828305373637955e-01
3.184435957341748558e-01 8.328206872975545405e-01 -4.527729885330155635e-01
3.390238394173851200e-01 9.340814193357011019e-01 1.120479288451913247e-01
3.230676930534847613e-01 9.151180645220930998e-01 -2.412181454419162763e-01
3.503585989697191594e-01 8.311360360833156546e-01 -4.318121601480078287e-01
2.316344579474584331e-01 5.768708260568615742e-01 -7.833042371491815148e-01
4.231220176327896709e-01 -5.171021202909251158e-02 9.045959386191513296e-01
6.817849816164198717e-01 -4.175128365014594833e-01 6.007098053126844750e-01
3.024724219374869683e-01 1.282933972284405200e-01 9.444846415875995937e-01
-7.059469255193462356e-02 -6.765489078041040383e-01 7.330061150717446239e-01
3.558847329151323957e-01 7.268527781918696640e-01 -5.873934760556039913e-01
3.123247545336617081e-01 9.392907753578655372e-01 1.420777499579289893e-01
3.286855828827733306e-01 9.438401341691620150e-01 -3.363909535867494471e-02
9.994457390487501147e-01 -3.323684670536042329e-02 1.877955905262175063e-03
5.421606831220192602e-01 7.073234027736873264e-01 -4.536026869026653086e-01
1.143985280876372301e-01 1.617421056503844101e-01 9.801798141316530044e-01
1.501317791499248155e-01 6.903408788333292856e-02 9.862528801475788365e-01
1.978229973861767022e-01 -5.887009071465244547e-01 -7.837712061756337834e-01
4.702935751564004119e-01 -5.152979059538614903e-01 -7.164440112710668274e-01
4.242106436672481440e-01 -8.713160983560283013e-01 2.466851972556261818e-01
2.865325454712041586e-01 7.199048713409756939e-01 -6.321677598591417535e-01
8.956798852686322920e-01 2.139744221760350451e-01 3.898364910826095930e-01
3.352422977742249288e-01 9.244510378786247040e-01 -1.816669489703379436e-01
2.019323833415276881e-01 -1.563867009383643203e-02 9.792746012001467548e-01
5.227803985307487578e-01 8.522860103486384897e-01 1.758441002797631048e-02
2.744675729903574002e-01 -1.263567823796266365e-01 9.532583673503477462e-01
2.734891477333148413e-01 -9.094257102200851983e-02 9.575662561139108853e-01
2.665079658329271850e-01 7.790253326980657311e-01 -5.675324089091858815e-01
4.811138914497304353e-01 8.739511819925803726e-01 -6.883861523787931924e-02
4.861172158773731655e-01 8.728783189218178862e-01 -4.211285770228018199e-02
4.048885126183148220e-01 -9.136776488362021720e-01 3.547458762097816659e-02
