TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
2.844102761084594810e-01 -9.584121069627968836e-01 2.360144213903356963e-02
5.112079609780300071e-01 -6.307955297504398429e-01 -5.837494499179822771e-01
9.797150291548500922e-01 -2.000867753454327325e-01 1.112402714746747040e-02
3.244001887192573541e-01 8.499647292975858193e-01 4.151198339142470051e-01
2.441587081234589951e-01 -9.692952505466997382e-01 2.921031521730405381e-02
3.080838908723156355e-01 -9.473007070200341051e-01 8.778204067073501482e-02
3.313006502617221183e-01 8.551954042270616396e-01 3.985984191201374927e-01
3.786265234248078482e-01 -5.747449424361399384e-01 -7.254724025787070429e-01
3.156685173051965720e-01 9.472710756540991817e-01 -5.505357764455100916e-02
2.881859288935640362e-01 9.407744272669573693e-01 -1.785842865099897814e-01
3.050810637225667143e-01 8.675085992577685756e-01 3.928795932238418609e-01
1.773892887408840269e-01 8.972575529798948457e-01 -4.043042466516206801e-01
9.999998370041922602e-01 -1.342590454560339732e-04 -5.549469323611462513e-04
1.393418968329081242e-01 -7.119695017401306281e-01 6.882465142511927647e-01
2.122556206387873068e-01 -8.452930156901813374e-01 4.903338343747470351e-01
1.727399483878951647e-01 9.742067048273895802e-01 -1.451971297936250904e-01
1.725268907602811874e-01 9.724271269739144241e-01 -1.569074717464039037e-01
3.535064379836700965e-01 9.354250198052570520e-01 -3.637392806928121253e-03
3.398933294057982502e-01 9.403651470651269717e-01 -1.363505814522311503e-02
3.466977890346870095e-01 9.373890762074681415e-01 -3.320185063169063533e-02
3.233944035498104164e-01 9.452450870655730863e-01 -4.390654997901136808e-02
2.779376014306645937e-01 -8.458492945775447636e-01 4.552907429035196185e-01
2.513977496531271671e-01 -4.693765075951506494e-01 8.464542903117232564e-01
2.762972757135304103e-01 -8.913806584890509033e-01 3.593053535711754898e-01
2.818794687960588519e-01 -9.099136380548971115e-01 3.043043482320836324e-01
2.795218962852402678e-01 -8.989132182690421358e-01 3.373759557501049278e-01
3.392781539410949510e-01 9.406796323044186448e-01 -3.487639021796382251e-03
3.232351738912419559e-01 9.446258520607984099e-01 -5.657757486768996008e-02
3.279094895964816958e-01 9.426793886952965495e-01 -6.189456164831414614e-02
4.090158103858910765e-01 9.045098692676079022e-01 -1.206978179250465799e-01
4.011191276935938688e-01 8.923395766028654474e-01 -2.069626184279397541e-01
3.940492939789678739e-01 9.164954595129498616e-01 -6.900164205889451619e-02
9.996769051410693274e-01 -2.528281031822575756e-02 2.620082057097013455e-03
8.632926680532121422e-01 -5.041751003353699412e-01 2.309193554872320669e-02
9.999994140955457134e-01 -1.075001523019635755e-03 1.272017726182610804e-04
6.150771543657457263e-01 -7.730065179462645153e-01 1.553737989170892175e-01
