TITLE = "Normal Surface Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
9.993722955434106714e-01 1.196112666835700070e-02 3.334585954983589756e-02
9.989710403697997787e-01 1.543022760270405629e-02 4.264702309198948466e-02
9.991902258416920368e-01 1.378232001547355194e-02 3.780132586854050014e-02
9.990609430740309271e-01 1.455014246267124015e-02 4.081084878244894965e-02
9.993413768617863679e-01 1.215045791478220130e-02 3.419325758757461170e-02
9.991540570091103080e-01 1.376246315195786551e-02 3.875261243099296232e-02
9.993182509342403153e-01 1.508990797907367419e-02 3.369462905143429804e-02
9.996514962201192844e-01 9.948549707293344660e-03 2.445224864094144163e-02
9.998231629877445403e-01 7.124383196612406668e-03 1.740361793564504378e-02
9.999955081688560732e-01 1.025901533707577334e-03 2.816232972361934570e-03
9.999717672429093707e-01 -4.627382805517745584e-03 -5.920476793627158819e-03
9.990677624429740167e-01 1.505827154434264022e-02 4.045805859512142943e-02
9.998421430985990899e-01 6.749270721260908559e-03 1.643582151070581768e-02
9.987704730269220121e-01 1.676601238516671130e-02 4.665236369444662051e-02
9.992188484070964050e-01 1.253805689380630903e-02 3.747652755157275528e-02
9.962572006415358894e-01 2.259917676776717135e-02 8.343181275334830838e-02
9.999310030745127698e-01 4.554562387967721164e-03 1.082797542724471887e-02
9.999768973123565052e-01 2.268161813189761497e-03 6.407829862130376940e-03
9.998632199357995187e-01 -7.229777742276859501e-03 -1.487520532336446787e-02
9.988413656674293151e-01 1.579744646739180899e-02 4.545730872736052780e-02
9.990378962822684672e-01 1.262435926611878319e-02 4.199889695003050649e-02
9.987753788383091358e-01 1.630511182561965311e-02 4.671066210990987982e-02
9.988312841033197831e-01 1.611721392054367777e-02 4.556644941130065518e-02
9.998654386250560577e-01 1.173507701324446803e-02 -1.146266158523177869e-02
9.999663134951239929e-01 5.372319018371134007e-03 -6.205647696750547782e-03
9.996167051201382270e-01 -1.936920568680477323e-02 -1.978071575603218904e-02
9.994463609366327494e-01 -2.318567204781963112e-02 -2.386202468804708363e-02
9.995809463784018911e-01 -2.024559071899462506e-02 -2.068931351440798580e-02
9.995840664484348936e-01 -2.016902322901330605e-02 -2.061321431505203777e-02
9.996513806438687144e-01 -1.845160961094986785e-02 -1.888531915462994884e-02
9.994172170141849554e-01 -2.387122997019882828e-02 -2.440062940441291642e-02
9.995301915910194124e-01 -2.130561990674702255e-02 -2.203330793161282358e-02
9.991555801704287143e-01 1.418110618794831204e-02 3.856193513790943245e-02
9.990988696672000735e-01 1.453437968913432951e-02 3.987731732169673415e-02
9.991874981444845982e-01 1.369933001502937620e-02 3.790345510510893107e-02
9.991577594500542503e-01 1.435365039429373560e-02 3.844144184478383297e-02
9.993242226703792364e-01 1.248972941436676809e-02 3.457028555563645272e-02
9.990778705862118914e-01 1.456370061280287155e-02 4.038944329129821181e-02
9.991083133434942587e-01 1.446312764364173463e-02 3.966605786666710376e-02
9.997544222905502265e-01 -1.488006769374284471e-02 -1.642189684287013660e-02
9.993530829222302403e-01 1.294745174911805623e-02 3.355263249043417134e-02
9.995422423870486961e-01 1.188154112545029839e-02 2.782327558636359457e-02
9.999579166064959113e-01 2.751846105908950513e-03 8.751706062565122943e-03
9.995193041646720511e-01 -2.172117139682179163e-02 -2.212128647524076730e-02
9.995546754178821214e-01 1.025338523654703224e-02 2.802354262835828752e-02
9.992475194742466149e-01 1.435379565536779728e-02 3.603280969961802915e-02
9.994869950928848557e-01 -2.201857574305503967e-02 -2.325787957753091065e-02
9.991467033959722244e-01 1.503809808485158904e-02 3.846713790953835976e-02
9.999307459762192263e-01 -8.812334507403304928e-03 -7.800385373261709693e-03
9.998765937910588653e-01 5.401477259666331854e-03 1.475199078779490004e-02
9.994080269872358535e-01 -2.402434562424629952e-02 -2.462572660465746355e-02
9.989451354305852737e-01 1.552040224062012017e-02 4.321728258300044229e-02
9.997223736862882459e-01 -1.601120238277872754e-02 -1.728632260808999482e-02
9.997568946057232564e-01 -1.543471402602964587e-02 -1.574551654457326602e-02
9.996393408295892735e-01 -1.877069718521157463e-02 -1.920544696083588757e-02
9.994925262506938468e-01 -2.227932579684032202e-02 -2.276667764615905240e-02
9.996492771642419006e-01 -1.854090694996657698e-02 -1.890918915451923754e-02
9.998204256521836530e-01 -1.332021190892093872e-02 -1.347918407723057779e-02
9.995851057002500539e-01 -2.014345223819965017e-02 -2.058780692904119483e-02
9.993398247021064718e-01 -2.539418968035843729e-02 -2.598172232245273341e-02
9.989074575656916588e-01 1.456080197735557316e-02 4.440579089963573450e-02
9.989992676369833235e-01 1.353835408203835251e-02 4.262835006800431287e-02
9.991017404526808532e-01 1.313646365192177277e-02 4.028828051860065818e-02
