TITLE     = "ANALYZED MODEL"
VARIABLES = "X", "Y", "Z", "C"
ZONE T="STEP 0 Incr 0"
F = POINT
26.727644 -2.029681 -4.195817 0.000000
26.743695 -2.024502 -4.203483 0.000000
26.156156 -1.950158 -4.109633 0.000000
28.139187 -2.339580 -4.238617 0.000000
28.158962 -1.977278 -4.675943 0.000000
26.699402 -2.818592 -2.963359 0.000000
28.120545 -3.079775 -2.997055 0.000000
20.850576 -2.980501 0.673181 0.000000
20.844387 -2.956767 0.550362 0.000000
20.565443 -2.938489 0.686311 0.000000
22.288825 -3.205008 0.710354 0.000000
22.280283 -2.966344 -0.432996 0.000000
20.845269 -3.098823 1.913470 0.000000
19.580549 -2.916457 1.913137 0.000000
22.293695 -3.318213 1.907315 0.000000
23.761652 -3.173303 -0.565191 0.000000
23.761533 -3.015464 -1.112298 0.000000
22.573500 -2.983057 -0.546250 0.000000
25.201910 -3.422939 -0.537696 0.000000
25.201654 -3.028598 -1.812935 0.000000
26.671057 -3.283877 -1.853685 0.000000
26.681442 -3.085619 -2.353463 0.000000
25.287525 -3.053094 -1.785486 0.000000
28.105497 -3.552549 -1.833113 0.000000
28.118122 -3.095515 -2.957833 0.000000
26.646917 -3.647888 -0.595691 0.000000
28.076286 -3.862946 -0.639930 0.000000
23.749810 -3.433913 0.708163 0.000000
25.183553 -3.647095 0.662283 0.000000
23.729909 -3.529350 1.896610 0.000000
25.162405 -3.731134 1.885178 0.000000
26.614565 -3.849357 0.631707 0.000000
28.043663 -4.041426 0.604547 0.000000
26.596613 -3.923475 1.876354 0.000000
28.030657 -4.107332 1.872269 0.000000
18.014673 -1.840816 -1.567582 0.000000
18.020983 -1.793198 -1.642077 0.000000
17.390821 -1.756476 -1.482695 0.000000
19.433097 -2.105102 -1.600241 0.000000
19.469440 -1.785322 -2.156387 0.000000
17.957011 -2.364668 -0.369010 0.000000
19.383080 -2.529275 -0.512820 0.000000
20.870895 -2.356728 -1.633859 0.000000
